tweeter_screen_name,AGAINST,FOR,NOT_AGAINST,tweeter_label
bobkenn36814189,0.0,0.0,1.0,NOT_AGAINST
GeorgeNeves5,1.0,0.0,0.0,AGAINST
JSAHolmes,,,,NONE
Argellian1,1.0,0.0,0.0,AGAINST
debeatsarena,1.0,0.0,0.0,AGAINST
FrancesMcIntos1,1.0,0.0,0.0,AGAINST
ColinG_1,1.0,0.0,1.0,NOT_AGAINST
tobycastle,0.0,0.0,1.0,NOT_AGAINST
ChelseaHere3,0.0,0.0,1.0,NOT_AGAINST
darkholt61,0.0,0.0,1.0,NOT_AGAINST
innocent_guyguy,0.0,0.0,1.0,NOT_AGAINST
SGardnerSDP,1.0,0.0,0.0,AGAINST
RyKokes,1.0,0.0,0.0,AGAINST
LaQueenBattle,0.0,0.0,1.0,NOT_AGAINST
nerdwithnikon,1.0,0.0,0.0,AGAINST
DaisyChurchill4,1.0,0.0,0.0,AGAINST
DVXz0jpdIDNIzEW,0.0,0.0,1.0,NOT_AGAINST
dhs14651,0.0,0.0,1.0,NOT_AGAINST
greenbadgejohn,0.0,0.0,1.0,NOT_AGAINST
FbpeReynard,1.0,0.0,0.0,AGAINST
cloudnikki,1.0,0.0,0.0,AGAINST
Charlot75877777,0.0,0.0,1.0,NOT_AGAINST
BodohBangang3,1.0,0.0,0.0,AGAINST
MarkCam27389171,3.0,0.0,0.0,AGAINST
hdhadwalmufc,2.0,0.0,0.0,AGAINST
JuanCeMed,1.0,0.0,0.0,AGAINST
DuddsSusan,1.0,0.0,0.0,AGAINST
virimayds,1.0,0.0,0.0,AGAINST
Nimunba,1.0,0.0,0.0,AGAINST
TeddyKung,1.0,0.0,0.0,AGAINST
SkyNews,2.0,0.0,0.0,AGAINST
Kendo_Go_Boris,0.0,0.0,2.0,NOT_AGAINST
FargoTundra,1.0,0.0,0.0,AGAINST
kkhanskk,1.0,0.0,1.0,NOT_AGAINST
teamauditors11,1.0,0.0,0.0,AGAINST
MaraFig60871081,0.0,0.0,1.0,NOT_AGAINST
newsbht1,1.0,0.0,0.0,AGAINST
alwaysawkward02,1.0,0.0,0.0,AGAINST
OliviaN80474696,1.0,0.0,0.0,AGAINST
dlucas1992,0.0,0.0,1.0,NOT_AGAINST
GabruofPunjab,1.0,0.0,0.0,AGAINST
phuktuiter,1.0,0.0,0.0,AGAINST
Amaan38797939,1.0,0.0,0.0,AGAINST
Nuubion,1.0,0.0,0.0,AGAINST
Aodanism,1.0,0.0,0.0,AGAINST
Jonteinspain,1.0,0.0,0.0,AGAINST
stillsafe,2.0,0.0,0.0,AGAINST
ianm54,0.0,0.0,1.0,NOT_AGAINST
missdemenor,1.0,0.0,0.0,AGAINST
retuties,1.0,0.0,0.0,AGAINST
XORadioNewsbeat,1.0,0.0,0.0,AGAINST
john1966olsen,1.0,0.0,1.0,NOT_AGAINST
freelibyanman82,1.0,0.0,0.0,AGAINST
OneNewsPage_UK,1.0,0.0,0.0,AGAINST
Fergusbartfast,1.0,0.0,0.0,AGAINST
RadioWrexham,3.0,0.0,0.0,AGAINST
FagerholmJohan,2.0,0.0,0.0,AGAINST
kiki_tsaki,1.0,0.0,0.0,AGAINST
Emma87847625,1.0,0.0,0.0,AGAINST
_Trina_Maria_,1.0,0.0,2.0,NOT_AGAINST
DTNBreakingNews,1.0,0.0,0.0,AGAINST
see75,1.0,0.0,0.0,AGAINST
Riskline,1.0,0.0,0.0,AGAINST
AddictScrabble,1.0,0.0,0.0,AGAINST
wee013,0.0,0.0,1.0,NOT_AGAINST
radionewshub,1.0,0.0,0.0,AGAINST
SusieStormBring,0.0,0.0,1.0,NOT_AGAINST
ruslandzhebr,0.0,0.0,1.0,NOT_AGAINST
SperoSpes,0.0,0.0,1.0,NOT_AGAINST
jorgonson89,1.0,0.0,0.0,AGAINST
angelarosane,0.0,0.0,1.0,NOT_AGAINST
the_rascal_king,0.0,0.0,1.0,NOT_AGAINST
buggs_bhunny,0.0,0.0,1.0,NOT_AGAINST
efdlan,0.0,0.0,1.0,NOT_AGAINST
DiableroK,0.0,0.0,1.0,NOT_AGAINST
nnaturinda,0.0,0.0,1.0,NOT_AGAINST
Koippari61,0.0,0.0,1.0,NOT_AGAINST
Ajax1970,1.0,0.0,0.0,AGAINST
barnettmike26,0.0,0.0,1.0,NOT_AGAINST
Discord1996,1.0,0.0,0.0,AGAINST
Falcon_Malteser,0.0,0.0,1.0,NOT_AGAINST
tmc51530213,0.0,0.0,1.0,NOT_AGAINST
NeckTina,0.0,0.0,1.0,NOT_AGAINST
Hollim1968,1.0,0.0,0.0,AGAINST
1Dow1,0.0,0.0,1.0,NOT_AGAINST
ChrisCh81905143,1.0,0.0,0.0,AGAINST
UpYourStreet6,0.0,0.0,1.0,NOT_AGAINST
hotplinth,1.0,0.0,0.0,AGAINST
ValiantPI,1.0,0.0,0.0,AGAINST
brexitforexit,0.0,0.0,1.0,NOT_AGAINST
BOTUS19,0.0,0.0,1.0,NOT_AGAINST
jimticker,1.0,0.0,0.0,AGAINST
jackcolleton,1.0,0.0,0.0,AGAINST
drainthebog1,1.0,0.0,0.0,AGAINST
SamuelBlanchar2,1.0,0.0,0.0,AGAINST
Snaut14,0.0,0.0,1.0,NOT_AGAINST
DennispaPaul,0.0,0.0,1.0,NOT_AGAINST
PStevesson,1.0,0.0,0.0,AGAINST
Philjbrown67,1.0,0.0,0.0,AGAINST
SimpsonSparky,1.0,0.0,0.0,AGAINST
wds08,0.0,0.0,1.0,NOT_AGAINST
wtreacy84,1.0,0.0,0.0,AGAINST
Joeytaylor123,0.0,0.0,1.0,NOT_AGAINST
paulinust,1.0,0.0,0.0,AGAINST
denistmurray,1.0,0.0,1.0,NOT_AGAINST
JusticeTyrwhit,0.0,0.0,1.0,NOT_AGAINST
BooBiffa,2.0,0.0,1.0,AGAINST
Freethought221,1.0,0.0,0.0,AGAINST
MyBlackBess,2.0,0.0,0.0,AGAINST
Akim_ldn,1.0,0.0,2.0,NOT_AGAINST
